App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
16:42:04.595;1;0;1610;72;220;500;1610;108;70;500;1610;92;80;610;1610;4;590;610;610;60;0;240;390;41;30;230;390;57;30;270;610;660;610;601;400;625;340;0;L;42;3867;
16:42:06.309;2;2460;860;86;360;400;860;120;350;400;860;75;350;400;860;25;360;860;860;68;0;850;850;89;0;640;840;64;10;150;820;725;400;334;510;805;860;0;L;42;3867;
16:42:08.043;3;4460;950;110;0;200;950;132;0;210;600;112;20;210;950;0;0;0;0;154;110;720;950;37;580;760;950;105;160;720;950;622;240;460;510;660;740;0;L;42;3867;
16:42:09.693;4;5800;910;71;0;210;810;99;20;230;880;77;30;240;770;0;0;0;0;73;110;530;910;49;260;560;880;87;140;530;870;556;300;505;410;571;560;0;L;42;3867;
16:42:10.010;5;6950;50;27;0;50;50;33;0;50;50;17;10;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;50;0;0;0;0;4;L;42;3867;
16:42:11.878;6;8280;1140;70;70;310;630;94;70;300;730;79;70;310;730;54;190;590;940;168;60;870;1140;67;40;890;1140;71;0;810;1130;710;330;645;430;815;840;0;L;42;3867;
16:42:13.370;7;9860;960;110;0;250;670;138;10;250;700;102;20;260;670;0;0;0;0;115;120;720;960;68;460;790;960;136;310;750;960;607;280;529;610;690;750;0;L;42;3867;
16:42:14.957;8;11230;960;105;0;180;690;146;10;190;710;110;20;180;650;0;0;0;0;59;520;730;960;80;350;790;960;186;130;730;960;616;240;514;570;700;730;0;L;42;3867;
16:42:17.498;9;12930;1350;119;0;330;940;148;0;330;960;121;10;330;950;22;220;590;1040;115;190;960;1350;23;840;1350;1350;69;550;960;1350;720;340;565;830;607;960;0;L;42;3867;
16:42:17.857;10;14730;100;18;10;100;100;31;0;100;100;19;10;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;100;0;0;0;0;4;L;42;3867;
16:42:28.229;11;23440;1570;53;50;320;960;82;40;320;1350;67;50;330;1350;23;210;1500;1500;52;100;960;1570;0;0;0;0;53;0;330;1250;583;960;0;0;361;960;0;L;42;3867;
16:42:29.642;12;25480;1600;154;0;350;1490;176;0;350;1520;158;0;350;1490;0;0;0;0;32;710;1460;1600;0;0;0;0;24;1480;1600;1600;775;350;0;0;62;1460;0;L;42;3867;
16:42:31.766;13;27650;1430;95;0;270;1090;130;0;290;1150;103;10;290;1090;0;0;0;0;93;200;1200;1430;85;630;1240;1430;130;200;1180;1430;604;310;562;790;795;1210;0;L;42;3867;
16:42:33.276;14;29710;990;116;0;290;740;148;0;290;770;123;20;290;730;0;0;0;0;90;120;750;990;60;560;800;990;150;440;770;990;705;520;640;660;730;780;0;L;42;3867;
16:42:34.956;15;31190;1280;108;0;300;870;152;0;300;920;126;20;300;890;0;0;0;0;140;130;930;1280;29;1090;1260;1260;47;510;890;1280;665;300;466;840;487;930;0;L;42;3867;
16:42:36.949;16;32880;1030;43;0;120;990;83;0;170;1020;42;0;130;970;0;0;0;0;40;10;180;940;30;30;180;1020;61;0;180;1030;517;180;0;0;478;180;0;L;42;3867;
16:42:37.803;17;34610;610;109;0;610;610;164;0;610;610;130;0;610;610;0;0;0;0;68;60;370;590;67;130;400;610;91;90;400;600;840;610;0;0;562;400;0;L;42;3867;
16:42:40.263;18;36740;930;104;0;260;680;152;0;260;700;113;10;260;660;0;0;0;0;84;100;700;930;91;490;760;930;160;380;730;930;631;260;544;590;720;730;0;L;42;3867;
16:42:41.932;19;38300;1040;112;0;90;720;162;0;170;760;127;20;170;930;0;0;0;0;146;100;810;1040;40;600;840;1030;102;110;780;1040;695;180;544;660;680;810;0;L;42;3867;
16:42:43.118;20;39820;710;57;0;100;630;110;0;180;660;67;10;140;620;0;0;0;0;60;100;470;710;77;120;470;710;110;110;460;710;457;170;0;0;583;470;0;L;42;3867;
16:42:44.895;21;41130;1170;93;0;480;1170;134;0;460;1170;119;0;500;1170;46;20;560;1160;55;20;250;1140;0;0;0;0;0;0;0;0;775;550;0;0;148;250;0;L;42;3867;
16:42:45.884;22;42580;260;57;0;140;140;92;0;170;170;70;0;140;140;15;10;110;110;39;10;210;210;0;0;0;0;32;110;260;260;538;260;0;0;210;260;0;L;42;3867;
16:42:49.829;23;46370;300;0;0;0;0;44;0;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;300;0;0;0;0;0;L;42;3867;
16:43:02.615;24;56877;1210;78;0;260;1210;116;0;260;1210;86;10;260;1210;0;0;0;0;25;60;250;970;0;0;0;0;0;0;0;0;496;260;0;0;52;250;0;L;42;3867;
16:43:05.874;25;59417;1760;39;740;950;1760;89;560;950;1760;52;660;950;1760;0;0;0;0;0;0;0;0;15;0;1710;1710;0;0;0;0;310;950;0;0;32;1710;0;L;42;3867;
16:43:06.766;26;61747;270;0;0;0;0;35;0;270;270;19;160;270;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;270;0;0;0;0;0;L;42;3867;
16:43:14.722;27;69729;380;46;240;380;380;75;230;380;380;52;240;380;380;0;0;0;0;27;0;380;380;0;0;0;0;22;160;380;380;370;380;0;0;124;380;0;L;42;3867;
16:43:15.290;28;70459;150;27;0;150;150;25;0;150;150;25;0;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;150;0;0;0;0;4;L;42;3867;
16:43:18.043;29;72569;1100;48;90;510;750;89;70;510;750;55;80;510;740;0;0;0;0;83;0;730;1030;68;40;920;1100;99;20;730;1100;487;510;0;0;690;510;0;L;42;3867;
16:43:20.089;30;73959;1510;97;0;730;1510;154;0;730;1510;96;70;730;1500;0;0;0;0;47;50;270;1410;0;0;0;0;44;80;300;1450;715;730;0;0;222;300;0;L;42;3867;
16:43:21.559;31;76239;1150;111;0;620;1120;164;0;620;1150;138;0;620;1130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;660;620;0;0;0;0;0;L;42;3867;
16:43:22.391;32;77609;160;14;60;160;160;30;0;160;160;24;0;160;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;160;0;0;0;0;4;L;42;3867;
16:43:28.854;33;84119;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;L;42;3867;
16:43:42.803;34;99400;870;69;0;170;450;119;0;200;520;102;10;180;480;0;0;0;0;114;90;620;870;102;200;700;870;158;180;650;870;544;220;475;370;745;660;0;L;42;3867;
16:43:44.642;35;100700;960;121;10;70;440;160;0;120;500;138;10;120;450;30;70;180;360;88;80;540;960;75;180;720;960;124;110;540;960;775;140;568;300;685;540;0;L;42;3867;
16:43:45.262;36;102000;270;17;160;260;260;33;120;260;260;27;140;270;270;0;0;0;0;59;0;270;270;43;20;270;270;60;10;270;270;172;270;0;0;433;270;0;L;42;3867;
16:43:49.603;37;104890;1730;68;0;280;1270;107;0;280;1350;76;20;280;1320;28;1330;1470;1470;48;1120;1730;1730;0;0;0;0;0;0;0;0;400;280;0;0;92;1730;0;L;42;3867;
16:43:50.942;38;107100;1300;89;60;450;1300;136;0;450;1300;97;10;450;1280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;450;0;0;0;0;0;L;42;3867;
16:43:52.754;39;109100;1110;81;0;310;740;140;0;330;790;107;10;320;750;0;0;0;0;112;190;830;1110;49;610;920;1110;142;400;860;1110;568;350;490;600;675;860;0;L;42;3867;
16:43:54.516;40;110650;870;64;10;160;480;110;0;170;550;77;10;170;510;33;20;230;580;134;20;630;870;76;390;710;870;140;60;640;870;628;220;538;380;775;670;0;L;42;3867;
16:43:55.660;41;111900;760;99;0;200;470;146;0;200;510;97;60;210;670;21;90;220;540;138;90;570;760;61;340;600;750;134;290;570;760;685;220;520;410;730;580;0;L;42;3867;
16:43:59.220;42;113760;2470;91;10;750;1690;138;0;750;1690;108;10;750;2340;13;1620;1690;1690;89;430;2470;2470;46;460;2460;2460;87;450;2470;2470;598;750;0;0;469;2470;5;L;42;3867;
16:44:00.002;43;116540;810;99;30;800;800;184;20;790;810;136;30;790;810;0;0;0;0;95;0;220;810;65;0;260;810;110;0;560;810;805;790;0;0;607;270;0;L;42;3867;
16:44:01.637;44;117830;800;53;0;100;440;114;0;150;620;81;40;180;470;38;90;330;680;99;90;550;800;34;330;550;790;73;210;550;800;595;280;484;450;553;550;0;L;42;3867;
