App Software v2018_38-8-g44e8-dirty

App_time;Step_number;Insole_timer;Contact_time;ESW_timer;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Lifetime_steps;Day;Month;Year;Left/Right;Size;Insole_id;Battery;MAC
10:25:59.761;1;0;1170;37250;87;0;110;1160;53;0;110;1150;79;0;110;1170;33;10;140;1170;41;10;170;1170;88;10;390;1170;218;10;390;1160;805;220;755;270;785;310;0;2780;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:02.407;2;1640;1490;38890;59;0;120;1460;28;10;120;1490;58;0;120;1450;30;380;490;1480;126;80;1490;1490;58;10;170;1480;116;0;170;1480;367;120;0;0;571;170;0;2781;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:03.103;3;3440;620;40690;50;0;20;370;20;0;20;480;53;0;20;250;47;0;120;500;86;0;240;620;52;0;190;600;216;0;300;620;376;20;322;40;755;300;0;2782;26;11;2018;L;42;3867;3012;F4:9B:0B:3F:1D:F9
10:26:04.811;4;4480;1620;770;124;40;390;1600;70;50;1150;1590;88;20;1150;1600;29;30;1190;1390;33;20;180;1610;93;1070;1350;1620;270;0;1360;1620;493;1150;0;0;795;1330;0;2783;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:05.925;5;6370;500;2660;136;0;500;500;70;0;500;500;90;0;480;480;27;0;240;460;46;0;170;480;66;10;170;430;226;0;160;500;740;500;685;380;985;160;0;2784;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:06.578;6;7890;90;4180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;20;90;0;0;0;0;0;0;0;0;18;20;4;2785;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:09.265;7;8820;1910;5110;46;800;1790;1910;31;1700;1790;1910;80;0;1790;1910;57;90;870;1910;39;210;1890;1890;59;990;1910;1910;204;870;1910;1910;319;1790;0;0;730;1870;0;2786;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:11.004;8;12080;310;8370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;100;300;32;100;210;310;24;200;300;300;0;0;0;0;86;190;0;2787;26;11;2018;L;42;3867;3008;F4:9B:0B:3F:1D:F9
10:26:11.866;9;12690;660;8980;86;0;40;620;51;0;60;410;74;10;90;630;36;10;120;410;65;10;150;630;70;10;420;660;244;0;450;660;895;130;616;350;750;450;0;2788;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:13.527;10;13640;830;9930;62;0;20;830;31;0;20;830;58;0;80;830;21;10;100;790;69;10;390;830;49;10;170;830;156;10;190;830;340;20;292;40;529;160;0;2789;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:15.593;11;15420;790;11710;180;10;430;790;76;10;430;790;130;10;430;790;22;50;150;670;24;20;150;300;28;20;130;770;56;0;140;780;715;550;613;300;700;190;0;2790;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:15.815;12;16590;570;12880;136;10;120;520;73;0;130;450;82;0;120;510;0;0;0;0;0;0;0;0;51;20;200;560;152;0;260;570;770;180;0;0;634;260;0;2791;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:16.892;13;17510;760;13800;53;0;100;630;29;10;100;310;48;10;90;710;0;0;0;0;32;60;630;740;83;10;300;740;246;10;360;760;228;100;0;0;715;360;0;2792;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:18.850;14;18830;940;15120;114;0;40;490;54;10;40;520;104;10;40;460;32;20;130;520;148;20;640;940;102;20;170;920;232;10;150;940;750;50;715;60;1110;140;0;2793;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:21.037;15;21340;1070;17630;67;0;430;1070;32;0;150;150;65;0;430;1070;17;10;400;1070;0;0;0;0;0;0;0;0;4;130;150;1070;307;400;0;0;26;430;0;2794;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:22.773;16;23100;600;19390;73;0;30;510;35;0;30;510;62;0;30;570;56;0;170;510;96;40;290;600;52;0;160;600;105;0;250;600;394;30;0;0;685;150;0;2795;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:25.053;17;25180;790;21470;84;0;30;470;40;0;30;450;90;0;40;760;40;0;110;460;128;0;570;790;76;0;200;790;186;0;210;790;535;40;0;0;945;170;0;2796;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:25.788;18;26690;570;22980;76;0;120;530;35;0;120;520;70;0;120;540;56;10;190;480;115;110;440;570;36;10;440;570;109;50;420;570;568;210;493;340;580;420;0;2797;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:26.743;19;27450;760;23740;44;0;20;710;20;0;20;720;45;0;200;670;89;0;400;750;150;60;610;760;25;540;650;760;36;0;590;740;259;20;160;50;622;600;0;2798;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:27.973;20;28410;820;24700;127;0;30;810;51;10;30;800;111;0;30;810;55;20;120;720;150;20;330;820;37;60;180;820;126;10;710;820;616;30;487;60;760;140;0;2799;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:30.413;21;29640;1910;25930;134;30;390;1880;62;40;390;1760;109;30;390;1880;43;60;1860;1860;48;550;1910;1910;42;500;670;1910;218;0;670;1910;725;390;0;0;775;670;0;2800;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:30.986;22;31830;610;28120;85;0;110;610;45;10;110;610;87;0;120;610;51;30;170;340;82;30;480;610;39;10;140;610;162;0;130;610;690;120;0;0;930;140;0;2801;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:33.255;23;33820;790;30110;126;30;220;730;57;40;210;640;86;30;210;730;0;0;0;0;0;0;0;0;79;10;630;790;190;0;640;790;577;220;550;310;660;630;0;2802;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:35.295;24;34900;1290;31190;110;0;130;1290;66;0;130;1290;83;0;120;1290;14;10;120;1290;17;10;220;1290;56;10;420;1280;170;10;430;1290;710;180;499;330;571;410;0;2803;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:36.092;25;36980;470;33270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;270;470;0;0;0;0;42;340;470;470;26;210;0;0;156;270;0;2804;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:38.315;26;37840;1720;34130;162;10;150;1720;83;10;140;1720;136;0;130;1720;63;10;1720;1720;206;10;1720;1720;64;0;510;1720;226;0;510;1720;1125;120;660;320;765;490;0;2805;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:42.025;27;41280;1980;37570;94;0;1500;1980;47;620;1500;1640;79;0;1500;1980;49;110;1530;1660;75;1420;1640;1980;43;790;1610;1980;144;230;1630;1980;541;1500;0;0;760;1570;0;2806;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:43.520;28;43650;750;39940;112;0;120;690;57;0;130;680;94;0;120;690;26;10;140;400;31;10;150;400;69;10;210;740;168;10;240;750;810;120;0;0;950;180;0;2807;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:45.075;29;45880;640;1210;117;0;40;600;51;10;30;600;104;0;40;600;46;10;110;260;106;0;160;640;83;10;190;630;218;0;190;640;690;40;645;60;965;160;0;2808;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:46.203;30;46740;900;2070;130;80;660;900;57;120;660;860;118;80;450;890;42;60;160;620;69;0;80;660;50;20;760;890;113;0;770;900;790;460;670;580;735;700;0;2809;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:48.506;31;48020;1270;3350;142;0;120;1270;84;0;120;1270;105;0;110;1270;23;10;130;1270;24;10;150;1270;65;10;250;1270;164;10;280;1270;960;170;0;0;855;280;0;2810;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:48.983;32;49840;480;5170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;270;480;50;0;290;480;140;0;220;480;0;0;0;0;562;260;0;2811;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:50.233;33;50450;1110;5780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;600;700;1110;42;0;1010;1110;82;600;760;1110;0;0;0;0;361;700;0;2812;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:51.197;34;51800;820;7130;121;0;40;750;57;0;120;310;110;0;40;720;48;10;150;460;75;10;370;760;73;10;470;790;256;10;580;820;715;40;650;70;995;150;0;2813;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:53.021;35;52900;780;8230;130;70;620;780;61;80;620;780;91;70;620;780;24;80;140;660;48;0;110;660;43;10;450;780;99;0;130;780;750;620;660;340;700;270;0;2814;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:53.464;36;54190;700;9520;92;0;20;700;50;0;20;230;81;0;20;670;53;0;150;580;128;10;310;680;73;0;560;700;210;0;550;700;565;20;526;40;850;140;0;2815;26;11;2018;L;42;3867;3004;F4:9B:0B:3F:1D:F9
10:26:54.407;37;55150;680;10480;81;0;110;650;46;0;110;410;76;0;110;650;27;10;120;410;52;10;250;660;91;10;260;680;286;0;260;680;400;110;0;0;1000;210;0;2816;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:56.858;38;56190;1340;11520;77;0;1180;1340;40;20;680;1340;89;0;680;1340;48;20;180;1280;80;30;340;1300;46;40;240;1310;146;20;260;1340;830;680;634;400;815;230;0;2817;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
10:26:58.369;39;59010;780;14340;196;0;150;700;99;0;140;740;148;0;150;770;33;10;510;670;68;20;650;780;47;30;620;780;156;10;650;780;910;150;568;400;640;630;0;2818;26;11;2018;L;42;3867;3000;F4:9B:0B:3F:1D:F9
