App Software v2018_38-8-g44e8-dirty

App_time;Step_number;Insole_timer;Contact_time;ESW_timer;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Lifetime_steps;Day;Month;Year;Left/Right;Size;Insole_id;Battery;MAC
10:02:43.355;1;0;860;31080;152;0;100;760;120;10;200;770;184;0;180;820;59;10;220;750;110;70;580;860;63;340;630;810;290;130;660;860;1035;210;660;390;1040;640;0;2527;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:44.500;2;1200;800;32280;194;0;150;700;150;0;160;700;216;0;150;700;45;10;170;680;80;50;510;790;65;310;570;740;306;50;600;800;1155;160;613;340;950;570;0;2528;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:45.569;3;2310;750;33390;178;0;150;690;156;0;170;690;204;0;150;730;64;0;190;720;93;100;620;750;70;320;550;730;290;60;590;750;1170;180;565;330;1055;570;0;2529;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:47.015;4;3410;780;34490;208;0;80;740;160;0;170;680;218;0;140;740;52;0;130;670;90;40;520;770;72;350;560;720;326;60;590;780;1225;170;469;340;1030;560;0;2530;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:47.790;5;4500;780;35580;198;0;90;730;154;0;160;690;220;0;120;740;62;0;170;680;130;50;530;780;54;340;550;720;278;70;580;780;1245;160;532;330;1040;550;0;2531;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:48.905;6;5600;790;36680;182;10;90;690;146;0;160;690;210;0;120;740;55;0;120;670;55;360;540;790;62;290;550;720;320;80;590;790;1100;160;448;340;945;570;0;2532;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:50.007;7;6700;800;37780;168;0;150;700;140;0;160;700;200;0;150;750;51;0;150;680;90;30;540;790;80;110;560;740;362;60;600;800;1180;170;598;350;1150;590;0;2533;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:51.118;8;7820;790;38900;182;0;90;680;134;0;160;680;202;0;110;690;62;0;180;670;156;50;590;790;49;350;550;710;270;50;580;790;1165;170;511;340;1050;570;0;2534;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:52.207;9;8900;790;39980;198;10;80;670;154;0;180;670;220;0;160;680;59;0;160;660;78;20;510;770;60;340;540;710;340;30;580;790;1290;180;547;340;1030;560;0;2535;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:53.490;10;9980;770;100;188;10;80;670;146;0;150;670;218;0;130;680;59;0;150;660;87;20;590;760;64;310;540;710;316;50;580;770;1210;160;487;330;985;560;0;2536;26;11;2018;L;42;3867;3020;F4:9B:0B:3F:1D:F9
10:02:54.368;11;11060;790;1180;208;0;90;680;162;10;160;690;226;0;130;680;59;0;160;670;102;50;520;780;64;380;570;720;290;60;590;790;1255;160;565;330;1030;550;0;2537;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:02:55.462;12;12150;790;2270;196;0;100;700;146;10;160;700;226;0;130;700;80;0;440;690;136;30;540;790;57;360;570;730;278;60;590;790;1280;160;640;330;1115;560;0;2538;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:02:56.584;13;13260;810;3380;196;0;100;710;144;10;160;710;222;0;140;710;77;0;220;700;146;50;550;810;54;380;580;740;280;70;600;810;1225;170;650;360;1095;580;0;2539;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:02:57.794;14;14390;780;4510;200;0;90;680;150;0;150;680;222;0;110;730;59;0;130;670;98;30;530;780;60;340;550;720;298;50;580;780;1210;150;526;340;1000;560;0;2540;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:02:58.804;15;15470;810;5590;186;10;100;760;138;10;170;720;204;0;140;780;70;10;200;700;111;50;540;810;64;340;580;750;302;60;610;810;1180;180;631;340;1085;590;0;2541;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:02:59.937;16;16610;800;6730;192;0;140;700;158;0;170;700;218;0;150;750;55;10;160;690;119;50;540;800;66;350;570;730;308;80;600;800;1195;160;598;350;1110;570;0;2542;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:01.069;17;17730;800;7850;190;0;90;750;144;0;160;700;216;0;130;750;65;0;170;690;148;50;540;800;60;350;570;720;300;70;590;800;1200;170;568;340;1145;580;0;2543;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:02.162;18;18850;770;8970;176;0;130;730;142;0;150;680;210;0;130;740;59;10;170;670;134;50;520;770;50;340;550;720;298;50;580;770;1190;150;499;330;1060;570;0;2544;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:03.335;19;19960;840;10080;170;0;90;780;136;0;180;780;194;0;150;790;62;0;310;780;162;50;590;840;44;400;600;760;280;60;630;840;1110;190;604;370;1070;620;0;2545;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:04.413;20;21110;760;11230;188;10;100;760;134;10;170;720;212;0;150;760;87;10;220;720;148;60;640;760;65;370;600;750;280;70;610;760;1200;180;715;360;1160;590;0;2546;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:05.559;21;22240;780;12360;196;0;100;760;152;10;180;680;218;0;150;680;54;0;140;660;70;310;520;740;69;360;560;720;332;70;590;780;1145;180;547;350;1045;560;0;2547;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:06.660;22;23340;780;13460;202;0;90;690;150;0;140;690;234;0;130;740;87;0;180;680;124;40;530;780;71;330;560;720;310;50;580;780;1340;160;592;320;1145;560;0;2548;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:07.765;23;24440;790;14560;200;0;90;680;140;10;150;680;216;0;130;690;62;0;190;670;115;50;520;770;58;350;560;720;314;70;580;790;1165;170;556;340;1065;570;0;2549;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:09.002;24;25530;820;15650;190;0;100;720;150;10;180;720;222;0;160;720;77;0;470;700;128;60;560;820;60;390;590;750;288;70;610;820;1215;180;660;350;1095;580;0;2550;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:10.025;25;26650;820;16770;182;0;110;720;140;0;170;720;218;0;150;770;71;10;180;710;122;50;560;820;57;360;580;750;294;70;610;820;1205;170;675;350;1095;580;0;2551;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:11.534;26;27770;780;17890;180;10;100;730;138;10;190;730;206;0;170;740;90;10;480;720;150;50;590;780;57;380;600;760;274;70;620;780;1105;190;705;370;1110;600;0;2552;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:12.293;27;28920;810;19040;180;10;110;770;140;10;180;730;218;0;160;730;62;0;170;710;134;60;560;810;62;370;590;760;304;100;620;810;1180;180;625;360;1130;590;0;2553;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:13.449;28;30070;810;20190;184;0;100;750;138;10;180;760;214;0;160;760;70;10;200;760;106;60;540;810;66;370;580;740;324;90;610;810;1185;190;598;360;1090;580;0;2554;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:14.536;29;31160;820;21280;200;0;120;720;146;10;190;720;218;10;140;780;62;20;200;710;122;80;570;820;62;380;590;760;312;100;620;820;1190;200;601;370;1105;610;0;2555;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:15.660;30;32300;790;22420;188;0;160;760;152;0;180;760;218;0;150;690;55;10;140;670;69;50;530;740;72;360;570;730;354;60;590;790;1230;170;628;350;1040;570;0;2556;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:16.775;31;33400;810;23520;188;0;150;770;150;10;170;750;216;0;150;790;55;10;170;680;115;50;540;810;53;360;560;730;320;80;600;810;1205;170;571;350;1090;580;0;2557;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:17.899;32;34520;810;24640;194;0;90;780;148;0;160;770;220;0;140;780;55;0;160;690;116;50;540;810;68;350;570;740;326;70;600;810;1200;170;577;340;1120;580;0;2558;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
10:03:19.024;33;35650;810;25770;192;0;170;780;154;0;180;780;218;0;160;780;52;10;130;780;79;50;540;740;73;360;570;740;366;80;600;810;1215;170;680;350;1105;590;0;2559;26;11;2018;L;42;3867;3016;F4:9B:0B:3F:1D:F9
