App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
19:58:24.290;1;0;880;94;0;220;540;75;0;220;540;72;0;210;850;78;70;480;850;158;310;670;880;162;430;750;880;106;370;680;870;526;250;490;340;940;700;0;L;40;5258;
19:58:25.308;2;1220;680;108;0;120;320;81;0;130;320;85;0;130;660;59;70;200;640;140;120;490;680;168;250;560;680;156;160;520;670;604;170;400;310;930;520;0;L;40;5258;
19:58:26.309;3;2230;660;114;0;100;290;84;0;120;300;89;0;110;630;63;60;180;620;154;110;470;660;176;230;540;660;148;140;480;650;634;150;382;290;940;490;0;L;40;5258;
19:58:27.276;4;3210;650;110;0;110;290;79;0;120;300;85;0;120;610;63;70;190;600;148;110;450;650;198;190;530;650;127;150;470;640;613;160;397;290;935;490;0;L;40;5258;
19:58:28.364;5;4180;660;121;0;100;290;86;0;120;300;93;0;110;620;71;60;190;610;160;110;470;660;196;180;540;660;130;140;480;640;670;150;418;300;975;500;0;L;40;5258;
19:58:29.230;6;5150;650;120;0;110;300;89;0;130;310;95;0;120;620;68;60;190;600;142;120;460;650;180;230;540;650;164;140;490;650;680;160;385;310;955;490;0;L;40;5258;
19:58:30.206;7;6120;650;109;0;90;280;78;0;110;290;85;0;110;610;74;40;180;600;140;100;460;650;208;160;530;650;150;110;470;640;640;150;418;300;965;490;0;L;40;5258;
19:58:31.174;8;7090;650;117;0;100;290;85;0;120;300;93;0;120;610;70;60;180;600;162;100;470;650;176;250;530;650;142;110;480;640;685;160;388;290;980;490;0;L;40;5258;
19:58:32.127;9;8060;640;130;0;100;290;90;0;120;300;101;0;110;610;68;60;180;590;146;100;450;640;180;200;520;640;148;110;470;630;700;140;418;290;955;490;0;L;40;5258;
19:58:33.108;10;9030;640;127;0;100;280;89;0;110;290;99;0;100;620;73;60;180;610;166;100;460;640;172;210;530;640;128;120;470;640;690;150;409;290;950;490;0;L;40;5258;
19:58:34.274;11;9990;640;126;0;100;280;88;0;110;280;97;0;110;610;69;60;170;590;150;100;450;640;202;160;520;640;150;110;470;640;685;140;397;300;990;480;0;L;40;5258;
19:58:35.033;12;10960;640;144;0;90;270;99;0;100;280;107;0;100;610;72;60;160;590;158;100;450;640;194;150;520;640;148;110;460;630;730;140;355;290;975;480;0;L;40;5258;
19:58:36.008;13;11930;640;132;0;90;270;91;0;100;610;100;0;100;620;72;50;170;600;160;100;460;640;192;170;520;640;156;100;470;640;705;140;376;300;1005;480;0;L;40;5258;
19:58:36.996;14;12910;640;134;0;100;290;93;0;110;290;104;0;110;620;69;60;180;610;168;110;470;640;158;280;530;640;130;120;470;630;715;140;352;290;940;490;0;L;40;5258;
