App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
19:52:24.205;1;0;980;64;10;90;860;53;0;690;830;57;0;90;910;51;30;200;940;68;100;520;980;84;120;370;980;70;120;860;980;385;90;0;0;574;370;0;L;40;5258;
19:52:25.399;2;1390;790;91;0;130;350;62;0;140;340;75;0;140;380;53;70;260;720;142;170;560;780;224;230;660;790;136;210;600;770;478;180;430;280;970;620;0;L;40;5258;
19:52:26.410;3;2520;670;108;0;110;300;72;0;120;290;81;0;110;330;48;60;180;610;154;100;480;670;212;200;560;670;144;160;500;660;556;150;367;290;960;510;0;L;40;5258;
19:52:27.429;4;3530;670;122;0;110;300;80;0;120;290;92;0;120;330;55;60;190;610;166;110;480;670;202;220;550;670;111;180;490;650;613;150;367;290;930;510;0;L;40;5258;
19:52:28.432;5;4540;670;122;0;100;290;77;0;110;280;90;0;100;300;61;60;180;600;164;100;470;670;212;130;550;670;121;110;480;640;622;140;415;290;955;510;0;L;40;5258;
19:52:29.433;6;5550;660;125;0;100;290;83;0;110;290;93;0;110;310;57;60;180;590;128;110;460;650;212;180;540;660;144;150;480;640;622;140;376;290;945;500;0;L;40;5258;
19:52:30.537;7;6540;660;120;0;110;300;80;0;120;290;92;0;110;320;55;60;180;590;146;110;470;660;202;200;540;660;150;130;490;640;619;150;373;300;960;500;0;L;40;5258;
19:52:31.405;8;7520;650;109;0;110;290;72;0;110;290;82;0;110;310;57;60;180;590;164;110;470;650;160;290;530;650;130;110;480;630;586;150;355;290;915;490;0;L;40;5258;
19:52:32.417;9;8510;670;127;0;120;300;84;0;130;300;94;0;120;620;51;60;180;610;166;120;480;670;198;280;550;670;110;220;480;650;637;150;331;290;960;510;0;L;40;5258;
19:52:33.423;10;9530;660;126;0;110;360;85;0;130;320;96;0;120;620;57;50;370;610;186;130;480;660;198;290;540;660;94;270;470;640;650;150;325;280;1065;500;0;L;40;5258;
19:52:34.435;11;10520;670;127;0;120;310;82;0;120;300;92;0;120;590;58;10;180;610;130;150;480;660;250;100;550;670;109;200;480;650;665;150;376;290;975;510;0;L;40;5258;
19:52:35.449;12;11530;680;112;0;120;310;78;0;130;300;84;0;120;640;54;50;200;630;180;110;500;680;174;290;560;680;97;190;500;670;598;150;364;300;925;520;0;L;40;5258;
19:52:36.874;13;12550;670;116;0;120;300;78;0;120;300;86;0;120;620;56;60;190;610;162;110;480;670;184;260;550;670;132;170;500;650;610;150;343;290;935;510;0;L;40;5258;
19:52:37.713;14;13570;690;108;0;100;310;74;0;120;310;79;0;110;640;55;60;190;640;154;110;500;690;154;310;570;690;123;170;520;670;565;150;370;300;890;530;0;L;40;5258;
19:52:38.771;15;14610;700;113;0;110;330;75;0;120;300;82;0;110;660;60;50;200;660;164;110;510;700;160;280;580;700;101;180;510;680;592;150;403;300;925;530;0;L;40;5258;
19:52:39.618;16;15660;710;111;0;140;360;79;0;150;350;85;0;140;670;48;70;210;660;152;120;520;710;172;320;590;710;114;250;540;700;598;170;373;310;910;540;0;L;40;5258;
19:52:40.769;17;16730;690;111;0;130;330;78;0;140;320;83;0;130;650;51;70;210;640;134;130;490;680;198;240;570;690;132;190;510;670;580;170;370;310;930;520;0;L;40;5258;
19:52:41.939;18;17770;700;106;0;110;310;73;0;120;310;78;0;110;670;56;60;200;660;166;110;520;700;154;280;580;700;109;170;520;690;562;160;376;300;890;540;0;L;40;5258;
19:52:42.799;19;18840;700;112;0;110;320;78;0;120;310;85;0;120;660;50;60;200;650;148;110;500;700;172;210;580;700;130;150;520;680;583;160;412;300;910;530;0;L;40;5258;
19:52:43.835;20;19890;690;108;0;120;310;74;0;130;310;81;0;120;660;54;60;210;650;154;110;500;690;174;230;580;690;117;180;520;680;568;160;412;300;925;530;0;L;40;5258;
19:52:44.888;21;20940;690;121;0;120;340;82;0;130;330;90;0;120;660;56;60;390;650;146;130;510;690;162;310;580;690;102;280;520;680;607;160;364;300;890;530;0;L;40;5258;
19:52:45.943;22;22000;680;120;0;110;300;81;0;120;300;90;0;120;650;55;50;410;650;162;120;510;680;144;310;570;680;103;220;510;680;616;150;367;290;900;520;0;L;40;5258;
19:52:47.194;23;23030;690;108;0;110;310;74;0;120;310;78;0;120;650;54;60;190;640;166;110;500;690;174;210;570;690;114;160;500;680;568;160;382;300;895;520;0;L;40;5258;
19:52:48.019;24;24070;690;109;0;100;300;75;0;110;310;81;0;110;660;57;60;190;650;166;110;500;690;166;210;580;690;119;120;510;680;583;160;406;300;915;520;0;L;40;5258;
19:52:49.068;25;25120;690;115;0;110;310;80;0;120;310;85;0;120;660;54;60;200;650;164;120;510;690;164;260;570;690;114;180;520;680;589;150;379;300;920;530;0;L;40;5258;
19:52:50.116;26;26140;720;90;0;120;320;66;0;130;320;69;0;120;690;62;70;210;680;148;120;520;720;184;200;600;720;130;170;540;710;526;180;460;310;940;560;0;L;40;5258;
19:52:51.330;27;27230;740;104;0;120;320;73;0;130;330;78;0;120;700;56;60;220;700;154;120;530;740;162;260;610;740;97;180;540;720;559;170;427;310;880;560;0;L;40;5258;
19:52:52.279;28;28320;690;106;0;100;320;71;0;110;310;79;0;100;680;49;60;180;690;68;130;520;690;97;130;500;690;76;160;530;690;532;140;472;260;695;520;0;L;40;5258;
19:52:53.442;29;29380;790;84;0;160;380;61;10;160;370;62;10;150;760;64;30;280;750;144;180;570;790;206;280;660;790;102;240;590;770;490;200;430;310;915;620;0;L;40;5258;
19:52:54.502;30;30510;700;115;0;130;350;80;0;140;340;85;0;140;670;47;70;230;660;142;160;510;700;180;280;580;700;123;240;520;690;571;170;370;310;890;540;0;L;40;5258;
19:52:55.544;31;31570;690;118;0;110;300;81;0;120;300;88;0;120;660;64;60;200;640;174;120;500;690;188;220;570;690;116;130;500;670;628;160;424;300;985;530;0;L;40;5258;
19:52:56.550;32;32590;680;108;0;100;290;75;0;110;290;82;0;110;640;58;60;180;630;152;100;470;680;200;150;550;680;144;120;500;660;592;160;436;290;985;510;0;L;40;5258;
19:52:57.584;33;33610;690;112;0;90;290;76;0;100;290;83;0;100;650;65;50;190;640;170;100;490;690;192;180;560;690;119;110;500;670;595;150;466;290;980;520;0;L;40;5258;
19:52:58.644;34;34660;700;122;0;110;310;83;0;120;300;91;0;110;670;58;60;200;650;166;120;500;700;164;290;580;700;108;150;510;680;622;150;397;300;915;530;0;L;40;5258;
19:52:59.678;35;35710;690;112;0;110;310;77;0;120;310;84;0;120;660;58;60;210;650;166;110;500;690;174;270;570;690;106;160;510;680;589;160;409;300;930;530;0;L;40;5258;
19:53:00.733;36;36760;690;121;0;120;320;83;0;130;320;89;0;130;660;54;60;200;660;166;120;510;690;158;300;570;690;88;220;500;670;625;160;382;290;895;530;0;L;40;5258;
19:53:01.867;37;37800;680;118;0;110;310;81;0;120;310;89;0;110;650;56;60;200;630;152;120;490;680;186;210;560;680;142;130;510;670;613;160;436;300;985;520;0;L;40;5258;
19:53:02.793;38;38810;690;103;0;120;310;75;0;130;310;77;0;120;650;55;70;200;640;142;110;480;690;192;230;570;690;134;170;510;670;559;170;418;290;945;520;0;L;40;5258;
19:53:03.833;39;39850;690;116;0;110;310;81;0;130;310;87;0;120;670;56;60;210;660;166;120;510;690;158;300;580;690;110;170;520;680;598;160;397;300;915;530;0;L;40;5258;
19:53:04.896;40;40900;700;109;0;130;320;80;0;140;320;82;0;140;680;56;60;220;670;170;120;520;700;154;320;580;700;89;210;520;690;601;170;409;310;920;540;0;L;40;5258;
