App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
14:03:27.555;1;0;1180;116;0;230;710;78;10;220;780;70;0;210;680;0;0;0;0;119;80;840;1160;80;640;1010;1180;42;660;1020;1150;469;230;316;650;448;950;0;L;40;5258;
14:03:29.244;2;1720;830;127;0;160;530;83;0;150;560;78;0;160;510;0;0;0;0;111;40;560;810;120;410;680;830;64;330;680;810;508;170;340;490;517;650;0;L;40;5258;
14:03:30.371;3;2960;810;117;0;200;530;84;10;190;560;43;10;190;490;0;0;0;0;86;40;560;780;111;420;670;810;50;440;680;790;460;210;274;490;439;650;0;L;40;5258;
14:03:31.541;4;4250;900;148;0;200;560;52;90;200;570;55;20;190;520;0;0;0;0;91;70;640;860;96;390;720;900;26;510;750;860;457;220;232;520;373;690;0;L;40;5258;
14:03:33.028;5;5690;950;108;0;380;640;55;20;190;650;36;60;400;660;43;360;600;900;122;0;730;940;60;10;840;950;0;0;0;0;484;400;0;0;493;450;0;L;40;5258;
14:03:34.679;6;7010;820;95;0;180;380;64;20;190;400;0;0;0;0;0;0;0;0;58;130;510;790;127;200;650;820;32;520;660;800;277;200;182;360;427;650;0;L;40;5258;
14:03:36.526;7;8300;1380;148;0;200;1380;80;20;200;1380;10;1330;1380;1380;0;0;0;0;51;60;550;1380;58;470;640;750;34;480;610;1380;406;200;256;540;283;610;0;L;40;5258;
14:03:38.589;8;10930;800;103;0;220;650;65;20;240;650;0;0;0;0;0;0;0;0;47;100;560;800;0;0;0;0;0;0;0;0;322;260;0;0;108;560;0;L;40;5258;
14:03:40.663;9;12080;2180;116;0;1560;1890;71;20;1560;1890;31;1460;1560;1890;0;0;0;0;72;10;1890;2180;60;550;2140;2180;57;540;710;2180;424;1560;62;820;343;180;5;L;40;5258;
14:03:41.910;10;14730;780;130;0;130;430;64;20;160;430;25;20;130;350;0;0;0;0;78;50;520;760;79;430;650;780;33;490;650;760;391;170;180;410;337;640;0;L;40;5258;
14:03:43.118;11;15900;810;140;0;160;460;59;0;160;450;0;0;0;0;0;0;0;0;59;60;550;770;100;270;650;810;0;0;0;0;349;160;188;450;322;620;0;L;40;5258;
14:03:44.264;12;17080;670;158;0;360;670;59;20;170;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337;360;0;0;0;0;0;L;40;5258;
14:03:45.681;13;18200;1070;204;0;370;820;48;20;350;800;0;0;0;0;0;0;0;0;35;590;820;1050;48;720;940;1070;0;0;0;0;403;370;152;780;202;890;0;L;40;5258;
14:03:47.437;14;19650;920;111;0;180;630;47;10;180;630;0;0;0;0;14;140;270;880;45;80;630;900;76;540;770;920;27;820;900;900;310;230;208;610;283;750;0;L;40;5258;
14:03:48.242;15;20970;860;121;0;170;540;51;20;170;540;0;0;0;0;0;0;0;0;0;0;0;0;58;510;700;860;28;760;840;840;277;170;68;530;166;700;0;L;40;5258;
14:03:50.027;16;22320;840;148;0;180;550;54;20;180;540;0;0;0;0;0;0;0;0;50;80;590;810;66;400;660;840;0;0;0;0;352;180;176;520;262;660;0;L;40;5258;
14:03:53.018;17;23660;2490;100;10;200;2240;41;20;200;2230;7;1600;1630;1630;0;0;0;0;28;0;2220;2480;39;2190;2380;2490;18;930;2490;2490;271;200;64;980;148;2320;5;L;40;5258;
14:03:53.883;18;26540;930;100;0;180;670;49;10;180;670;0;0;0;0;0;0;0;0;45;30;650;920;43;590;790;930;23;840;910;910;289;180;0;0;160;730;0;L;40;5258;
14:03:55.299;19;27930;950;140;0;220;690;55;30;220;680;0;0;0;0;0;0;0;0;0;0;0;0;66;570;810;950;32;620;810;940;310;220;106;650;234;810;0;L;40;5258;
14:03:56.852;20;29480;940;130;0;180;690;51;20;180;680;0;0;0;0;0;0;0;0;0;0;0;0;53;560;780;940;0;0;0;0;286;180;110;670;162;780;0;L;40;5258;
14:03:58.407;21;30890;1090;130;0;240;810;41;120;240;810;0;0;0;0;0;0;0;0;0;0;0;0;71;720;960;1090;37;790;980;1080;274;240;90;780;256;970;0;L;40;5258;
14:03:59.852;22;32540;780;162;0;150;480;49;20;170;470;0;0;0;0;0;0;0;0;0;0;0;0;74;410;640;780;0;0;0;0;337;150;60;460;180;640;0;L;40;5258;
14:04:01.333;23;33720;720;162;0;150;450;46;30;150;430;0;0;0;0;0;0;0;0;27;280;490;690;78;390;590;720;0;0;0;0;331;150;100;420;218;580;0;L;40;5258;
14:04:02.385;24;34820;680;168;0;130;400;53;40;150;380;0;0;0;0;0;0;0;0;46;70;460;660;88;360;560;680;21;450;540;640;370;130;114;370;301;550;0;L;40;5258;
14:04:03.368;25;35850;640;160;0;110;400;67;40;140;390;0;0;0;0;0;0;0;0;42;60;420;610;81;350;530;640;38;360;520;610;391;140;136;350;319;520;0;L;40;5258;
14:04:04.403;26;36840;670;148;0;110;330;63;20;130;330;0;0;0;0;0;0;0;0;44;50;450;640;66;370;550;670;18;440;530;630;358;130;112;330;265;530;0;L;40;5258;
14:04:05.424;27;37870;660;166;0;130;410;54;30;150;390;0;0;0;0;0;0;0;0;41;70;450;640;57;370;550;660;0;0;0;0;373;150;112;380;196;540;0;L;40;5258;
