App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
13:05:34.527;1;0;770;132;10;170;770;72;0;160;770;108;0;180;770;33;0;200;200;0;0;0;0;0;0;0;0;0;0;0;0;607;180;0;0;0;0;0;L;40;5258;
13:05:36.931;2;2380;790;120;50;270;780;59;70;250;790;105;40;270;790;41;0;250;660;0;0;0;0;9;730;790;790;0;0;0;0;598;270;172;790;598;270;0;L;40;5258;
13:05:39.288;3;5300;770;117;0;200;450;82;0;200;510;89;0;200;500;62;50;400;600;92;90;550;740;48;360;610;770;156;110;600;770;665;220;574;370;650;580;0;L;40;5258;
13:05:40.543;4;6520;710;142;0;80;290;85;0;110;320;89;0;110;330;66;30;230;460;120;70;490;700;58;260;570;710;117;90;470;710;680;140;502;280;601;510;0;L;40;5258;
13:05:41.536;5;7630;580;164;0;130;370;83;0;150;400;109;0;130;390;48;30;320;470;42;250;440;570;0;0;0;0;132;130;430;580;680;160;0;0;397;440;0;L;40;5258;
13:05:42.822;6;8600;800;154;10;80;340;84;0;110;380;98;0;110;390;97;40;300;610;130;70;580;800;19;470;620;800;100;100;570;790;720;140;0;0;640;590;0;L;40;5258;
13:05:44.292;7;10120;740;111;0;70;420;57;0;150;470;67;0;110;480;75;30;340;710;96;70;540;740;35;310;550;740;85;90;510;740;619;200;580;360;616;490;0;L;40;5258;
13:05:45.663;8;11730;700;146;0;130;360;76;10;130;390;94;0;130;400;77;10;310;530;96;80;490;690;47;330;590;700;71;240;500;690;650;150;487;340;514;450;0;L;40;5258;
13:05:46.794;9;12840;630;158;0;100;420;94;10;130;470;82;10;140;450;59;30;370;550;51;240;490;630;0;0;0;0;98;190;500;630;670;140;418;350;439;420;0;L;40;5258;
13:05:47.903;10;13960;710;188;0;130;390;97;10;140;430;80;20;140;430;68;40;340;530;73;160;500;690;42;350;580;710;136;170;540;700;680;150;496;340;571;540;0;L;40;5258;
13:05:48.832;11;15050;560;150;0;70;310;73;0;120;310;81;0;110;320;68;20;200;420;57;80;380;550;47;150;480;560;92;90;410;560;680;140;0;0;505;420;0;L;40;5258;
13:05:50.396;12;16610;460;41;70;300;460;39;0;190;460;45;360;460;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;300;0;0;0;0;0;L;40;5258;
