App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
13:07:44.574;1;0;840;118;0;90;620;168;10;190;830;162;0;190;630;66;70;520;750;97;420;650;820;119;510;740;840;166;420;670;840;885;440;825;570;885;680;0;L;46;8815;
13:07:45.584;2;1230;820;127;10;80;560;180;0;160;580;158;0;150;570;68;70;450;770;104;310;620;810;117;430;710;820;144;340;630;820;890;170;695;330;820;660;0;L;46;8815;
13:07:46.822;3;2480;790;132;0;90;600;178;10;160;620;154;0;150;600;67;60;500;710;92;360;630;780;88;500;690;790;125;350;630;790;915;160;0;0;680;650;0;L;46;8815;
13:07:48.156;4;3710;910;124;0;60;640;170;0;80;890;132;0;70;850;58;30;140;820;77;350;660;860;117;490;770;910;138;340;680;910;800;120;645;280;770;690;0;L;46;8815;
13:07:49.647;5;5120;990;86;20;520;940;164;20;520;820;130;0;500;930;67;80;690;900;110;110;800;960;105;690;880;990;154;120;820;990;885;520;815;710;855;830;0;L;46;8815;
13:07:51.064;6;6540;780;114;0;80;530;166;10;110;530;126;0;110;510;65;70;220;690;100;130;590;770;105;330;630;780;126;180;600;780;810;190;705;400;850;580;0;L;46;8815;
13:07:52.329;7;7880;910;136;0;60;650;170;0;90;900;154;10;80;650;96;30;240;810;125;130;690;870;148;500;790;910;126;430;710;910;930;180;825;410;915;730;0;L;46;8815;
13:07:53.783;8;9190;830;96;0;60;550;174;0;100;540;128;0;90;760;74;60;420;780;148;100;620;810;134;400;700;830;118;290;620;830;830;150;640;330;890;650;0;L;46;8815;
13:07:54.801;9;10490;770;76;0;70;480;178;0;100;750;109;0;100;700;58;50;160;660;126;100;550;740;166;300;630;770;162;150;550;770;765;160;631;310;975;580;0;L;46;8815;
13:07:56.064;10;11710;810;66;0;60;520;168;10;80;510;112;10;90;500;68;60;200;760;150;100;590;780;152;380;680;810;142;160;620;810;740;200;665;370;940;630;0;L;46;8815;
