App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
19:54:32.883;1;0;620;120;0;100;270;82;0;110;280;89;0;110;590;61;70;170;580;172;90;440;620;234;160;500;620;156;130;450;610;631;140;358;280;1085;470;0;L;40;5258;
19:54:33.819;2;930;620;130;0;100;270;87;0;110;270;98;0;110;590;65;60;160;570;168;90;440;620;224;190;500;620;140;100;450;600;685;130;367;280;1045;470;0;L;40;5258;
19:54:34.742;3;1870;610;138;0;110;300;93;0;120;300;103;0;110;570;61;60;170;560;192;100;440;610;222;270;490;610;132;180;430;600;705;140;319;260;1145;460;0;L;40;5258;
19:54:35.656;4;2790;610;140;0;90;270;94;0;110;270;101;0;100;570;63;60;160;560;166;90;430;610;230;270;490;610;115;280;440;600;700;130;259;270;980;460;0;L;40;5258;
19:54:36.583;5;3710;610;132;0;110;290;90;0;120;290;99;0;120;570;58;70;170;550;172;100;430;610;222;270;490;610;120;180;440;590;680;140;304;280;1010;460;0;L;40;5258;
19:54:37.526;6;4610;610;140;0;90;280;93;0;110;280;105;0;100;560;60;60;160;550;180;90;430;610;222;240;490;610;103;280;430;590;710;130;250;270;980;450;0;L;40;5258;
19:54:38.814;7;5510;610;127;0;100;280;86;0;120;280;97;0;110;580;68;0;170;570;172;100;430;610;228;180;490;610;132;100;440;600;715;140;349;280;1060;460;0;L;40;5258;
19:54:39.329;8;6440;610;136;0;100;280;93;0;110;280;104;0;110;580;62;50;160;570;176;90;440;610;200;270;500;610;125;170;440;600;710;130;286;270;990;460;0;L;40;5258;
19:54:40.253;9;7360;620;134;0;100;280;92;0;110;280;101;0;110;580;62;60;170;570;166;90;440;620;216;210;500;620;150;100;450;600;705;140;340;280;1050;460;0;L;40;5258;
19:54:41.168;10;8280;610;126;0;100;340;85;0;110;280;94;0;110;570;66;60;160;550;160;90;430;610;226;190;490;610;156;90;440;590;700;140;325;280;1055;450;0;L;40;5258;
19:54:42.085;11;9200;610;144;0;90;280;96;0;100;280;105;0;100;580;64;60;170;570;178;90;440;610;206;200;500;610;134;100;440;600;725;130;358;280;1030;460;0;L;40;5258;
