App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
13:19:12.508;1;0;1020;146;0;260;1010;82;20;260;960;92;0;260;1000;16;560;680;1010;70;500;810;1000;134;110;890;1020;91;500;820;1000;628;800;0;0;625;840;0;L;40;5258;
13:19:13.991;2;1480;1030;166;0;260;1020;92;30;260;970;108;0;250;1020;19;580;710;1020;75;530;810;1010;144;610;900;1030;96;560;830;1010;586;260;475;410;553;840;0;L;40;5258;
13:19:15.570;3;2930;840;154;0;260;840;86;40;260;830;101;0;260;840;28;450;660;840;0;0;0;0;35;110;560;750;0;0;0;0;675;610;0;0;82;560;0;L;40;5258;
13:19:16.665;4;4130;1050;156;0;270;1040;89;20;270;1030;101;0;270;1040;83;150;690;1040;101;310;820;1050;138;550;900;1050;59;620;840;1030;725;820;0;0;695;860;0;L;40;5258;
13:19:18.604;5;5610;960;111;0;210;940;61;30;210;880;77;0;220;940;33;170;620;830;58;190;760;940;148;70;800;960;49;500;750;920;598;330;559;430;660;670;0;L;40;5258;
13:19:19.690;6;7000;1100;152;0;280;1080;83;10;280;1020;100;0;280;1080;0;0;0;0;36;910;1070;1070;86;310;950;1100;39;760;910;1070;538;310;307;870;334;920;0;L;40;5258;
13:19:21.602;7;8600;970;144;0;270;960;82;30;270;930;100;0;270;950;37;120;580;960;71;450;780;960;128;480;840;970;85;500;740;950;586;270;511;470;625;740;0;L;40;5258;
13:19:22.480;8;10010;980;132;0;170;970;65;30;190;640;90;10;170;970;55;100;600;970;106;130;730;960;134;200;830;980;64;350;730;950;586;190;0;0;680;700;0;L;40;5258;
13:19:24.052;9;11430;830;136;0;230;820;71;30;230;780;99;0;230;810;43;70;640;780;19;570;830;830;25;780;830;830;0;0;0;0;574;230;0;0;98;830;0;L;40;5258;
13:19:24.961;10;12560;250;57;0;250;250;18;130;250;250;39;10;250;250;45;10;250;250;43;10;250;250;34;40;250;250;0;0;0;0;487;250;0;0;388;250;0;L;40;5258;
13:19:29.119;11;16630;890;156;180;690;890;78;200;680;880;99;160;610;890;65;70;270;890;58;0;250;890;61;0;110;880;0;0;0;0;835;690;0;0;331;230;0;L;40;5258;
13:19:30.495;12;18070;920;150;0;230;920;81;40;220;870;103;0;220;920;87;90;630;880;99;400;740;920;96;480;810;920;45;460;710;900;622;250;535;410;655;660;0;L;40;5258;
13:19:31.807;13;19400;900;160;0;220;900;88;30;220;860;117;0;220;900;94;110;640;870;93;410;740;900;68;570;800;900;34;570;750;890;680;250;571;400;637;600;0;L;40;5258;
13:19:33.152;14;20740;900;142;0;200;900;81;20;200;850;105;0;190;900;78;80;640;860;121;130;730;900;76;530;790;900;48;440;680;880;655;230;550;380;685;670;0;L;40;5258;
13:19:34.528;15;22100;920;132;0;220;920;76;30;220;910;99;0;220;920;81;80;650;880;118;100;740;920;89;180;810;920;42;520;760;910;634;280;568;410;675;620;0;L;40;5258;
13:19:36.660;16;23510;1090;127;0;220;1080;71;40;230;1070;101;0;230;1080;116;100;730;1050;117;130;900;1090;18;870;970;1080;0;0;0;0;695;300;660;400;710;680;0;L;40;5258;
13:19:37.923;17;25200;670;122;0;240;670;70;10;240;670;95;0;240;670;45;0;260;260;0;0;0;0;0;0;0;0;0;0;0;0;616;260;0;0;0;0;0;L;40;5258;
13:19:42.785;18;30330;940;50;150;360;780;25;650;740;740;35;150;360;790;68;60;200;870;75;0;170;910;93;0;820;940;41;20;720;920;240;360;0;0;655;640;0;L;40;5258;
13:19:44.755;19;31750;940;146;0;210;930;82;30;210;930;111;0;210;930;104;60;650;900;124;130;770;940;61;630;830;940;18;670;770;920;690;250;607;390;675;540;0;L;40;5258;
13:19:45.684;20;33130;920;138;0;210;910;82;30;210;900;104;0;210;910;22;450;630;870;72;410;740;920;92;470;790;920;64;450;720;910;520;210;331;440;466;700;0;L;40;5258;
13:19:47.384;21;34480;830;119;40;280;740;66;60;280;710;90;40;280;740;39;0;100;750;40;0;100;800;19;490;730;830;20;510;680;810;634;580;0;0;186;680;0;L;40;5258;
13:19:48.134;22;35700;910;130;0;180;910;62;40;160;850;105;10;180;900;73;40;600;860;126;60;720;910;99;540;800;910;57;490;750;900;628;230;559;350;650;590;0;L;40;5258;
13:19:49.389;23;37040;810;156;0;210;800;98;30;210;790;118;10;200;790;23;410;580;800;44;400;640;800;95;110;700;810;52;430;650;790;628;210;505;380;619;530;0;L;40;5258;
13:19:51.075;24;38200;800;90;30;210;780;49;50;210;730;70;30;210;780;45;0;600;800;32;30;610;800;29;60;210;790;24;50;210;760;640;210;0;0;313;610;0;L;40;5258;
13:19:55.277;25;42820;610;66;0;210;600;45;10;210;550;46;10;210;600;0;0;0;0;28;480;590;590;65;390;510;610;41;490;590;590;252;210;0;0;172;610;0;L;40;5258;
13:19:56.401;26;44060;50;32;0;50;50;11;10;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;50;0;0;0;0;4;L;40;5258;
13:19:57.615;27;44860;670;82;250;670;670;30;440;670;670;0;0;0;0;60;120;340;670;72;10;340;670;84;0;120;670;47;20;270;270;358;670;0;0;740;630;0;L;40;5258;
13:20:01.256;28;49030;680;59;0;160;590;41;10;160;600;45;10;160;590;25;30;240;610;46;520;630;630;65;190;570;680;34;430;570;680;304;160;246;320;274;470;0;L;40;5258;
13:20:02.962;29;49910;540;154;0;150;500;98;20;150;500;116;0;150;500;37;0;150;430;0;0;0;0;37;300;420;540;43;310;440;540;715;150;0;0;184;440;0;L;40;5258;
13:20:05.903;30;52290;1410;164;0;480;1410;96;10;480;1410;97;20;480;1410;18;1340;1410;1410;28;1310;1410;1410;150;30;190;1410;53;20;1410;1410;800;190;206;710;675;1410;0;L;40;5258;
13:20:07.688;31;54980;600;90;180;440;520;41;210;430;530;61;180;430;530;35;140;230;510;63;40;220;530;136;0;170;600;60;40;190;570;433;440;0;0;680;260;0;L;40;5258;
13:20:09.344;32;56750;1030;114;130;410;890;67;170;410;1010;73;140;400;1010;26;260;810;950;26;760;860;1030;110;0;910;1030;34;890;1010;1010;595;410;0;0;349;890;0;L;40;5258;
13:20:10.729;33;58200;970;152;0;250;950;89;30;250;930;105;0;240;950;43;440;650;950;96;440;760;960;156;510;840;970;80;470;780;950;553;250;454;430;613;800;0;L;40;5258;
13:20:11.994;34;59550;890;142;0;200;870;81;20;190;860;90;20;190;870;23;450;630;830;71;420;710;890;164;100;750;890;89;200;680;870;550;230;475;410;650;700;0;L;40;5258;
13:20:13.591;35;60800;680;134;50;390;610;71;60;210;580;89;50;380;610;23;50;100;500;38;40;110;640;93;0;110;680;0;0;0;0;675;390;0;0;355;110;0;L;40;5258;
13:20:14.468;36;62320;30;15;0;30;30;13;0;30;30;13;0;30;30;12;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;110;30;0;0;0;0;4;L;40;5258;
13:20:16.515;37;64250;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;330;600;0;0;0;0;0;0;0;0;186;330;0;L;40;5258;
13:20:18.901;38;66080;1160;23;0;140;1060;0;0;0;0;0;0;0;0;68;510;660;1150;86;460;730;1160;103;140;730;1160;79;180;690;1160;156;280;50;410;705;720;0;L;40;5258;
13:20:21.927;39;69170;640;158;0;440;640;90;10;440;610;106;0;430;640;19;60;330;560;0;0;0;0;36;50;160;560;0;0;0;0;680;440;562;280;604;180;0;L;40;5258;
13:20:22.729;40;70500;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;260;560;0;0;0;0;0;0;0;0;98;260;0;L;40;5258;
13:20:25.658;41;72980;1090;106;0;260;840;61;60;250;1080;60;60;250;1080;33;250;520;1040;47;270;870;1090;70;280;950;1090;37;290;520;1070;553;520;0;0;403;890;0;L;40;5258;
13:20:27.255;42;74490;1180;114;0;200;1170;65;30;210;1130;85;0;210;1170;112;90;580;1130;134;130;970;1180;77;740;1060;1180;37;750;960;1160;715;530;675;740;740;920;0;L;40;5258;
13:20:28.586;43;76140;310;110;0;230;310;55;30;210;310;89;0;230;310;76;0;310;310;31;40;290;290;0;0;0;0;0;0;0;0;710;290;0;0;104;290;0;L;40;5258;
13:20:34.682;44;80340;2750;152;0;280;2480;85;30;280;2480;111;0;270;2480;104;110;820;2720;110;310;1120;2750;67;1210;2480;2480;64;930;2480;2750;695;770;148;1320;750;2470;5;L;40;5258;
13:20:36.455;45;83820;290;56;0;50;210;21;20;50;210;34;10;50;90;52;30;290;290;55;60;290;290;69;60;290;290;0;0;0;0;424;50;0;0;565;290;0;L;40;5258;
13:20:42.523;46;90180;650;61;0;240;650;33;70;240;600;42;50;240;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;240;0;0;34;600;0;L;40;5258;
13:20:43.775;47;91280;890;160;0;220;880;90;20;210;870;114;0;220;870;101;70;620;840;112;400;720;890;119;530;780;890;62;510;730;880;685;250;622;390;715;730;0;L;40;5258;
13:20:45.067;48;92550;700;156;0;140;680;94;30;150;670;112;0;140;690;62;50;390;650;110;90;520;700;142;330;590;700;79;280;510;690;735;180;472;340;695;550;0;L;40;5258;
13:20:45.854;49;93580;670;172;0;150;660;110;20;150;640;125;0;140;660;54;90;460;630;92;90;510;670;119;90;560;670;60;290;520;660;770;160;487;320;640;510;0;L;40;5258;
13:20:47.067;50;94640;720;162;0;190;700;102;30;180;680;120;0;180;700;46;320;470;670;134;60;560;720;132;70;610;720;65;330;530;710;695;190;439;330;660;500;0;L;40;5258;
13:20:48.059;51;95720;720;160;0;150;700;88;30;140;680;132;0;150;700;42;50;410;700;111;70;530;720;144;220;600;720;65;240;510;710;745;160;514;360;670;580;0;L;40;5258;
13:20:49.233;52;96790;820;140;0;180;820;89;40;190;770;116;10;180;820;52;80;530;810;117;90;640;820;121;100;690;820;94;100;600;810;750;220;586;380;750;600;0;L;40;5258;
13:20:50.537;53;97950;970;87;0;180;970;48;40;180;760;72;20;170;970;38;20;160;970;65;30;770;960;58;90;830;970;35;780;950;950;595;190;0;0;385;780;0;L;40;5258;
13:20:52.817;54;99370;850;106;0;340;850;54;120;340;850;72;20;340;850;41;20;340;850;39;20;310;850;40;0;790;850;0;0;0;0;650;340;0;0;265;790;0;L;40;5258;
13:20:57.946;55;105210;560;103;70;270;530;55;100;270;440;78;80;270;530;27;30;220;540;33;0;430;520;39;340;470;560;42;340;460;550;517;270;0;0;277;460;0;L;40;5258;
13:21:00.594;56;106840;2120;111;1180;1370;2120;67;1210;1370;2120;86;1190;1370;2120;123;70;1850;2090;150;20;1900;2120;100;0;2030;2120;97;10;1900;2120;1005;1410;935;1520;1120;1900;5;L;40;5258;
13:21:01.865;57;109420;810;160;0;200;800;101;30;200;780;127;0;190;790;71;60;520;790;142;90;640;810;112;390;700;810;70;390;660;800;760;210;541;380;710;570;0;L;40;5258;
13:21:03.067;58;110620;810;132;0;90;800;70;30;160;570;120;0;120;790;55;40;470;800;126;70;610;810;93;120;670;810;51;370;570;790;755;180;493;350;660;550;0;L;40;5258;
13:21:04.624;59;111960;930;152;0;210;770;97;40;220;780;120;10;200;800;70;20;570;880;71;80;590;930;0;0;0;0;0;0;0;0;760;230;665;370;710;480;0;L;40;5258;
13:21:06.723;60;113690;740;94;60;250;740;55;90;250;710;73;60;250;740;28;10;110;740;42;0;170;740;39;10;160;740;0;0;0;0;607;250;0;0;265;170;0;L;40;5258;
13:21:07.380;61;114830;350;112;30;350;350;68;100;350;350;85;40;350;350;0;0;0;0;35;0;240;240;17;40;170;170;0;0;0;0;523;350;0;0;122;240;0;L;40;5258;
13:21:13.520;62;120300;1020;84;0;200;1020;61;0;200;1020;66;0;200;1020;21;0;160;810;0;0;0;0;0;0;0;0;0;0;0;0;409;200;0;0;0;0;0;L;40;5258;
App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
