App Software ceeba

App_time;Step_number;Insole_timer;Contact_time;S0_force;S0_start_time;S0_max_time;S0_end_time;S1_force;S1_start_time;S1_max_time;S1_end_time;S2_force;S2_start_time;S2_max_time;S2_end_time;S3_force;S3_start_time;S3_max_time;S3_end_time;S4_force;S4_start_time;S4_max_time;S4_end_time;S5_force;S5_start_time;S5_max_time;S5_end_time;S6_force;S6_start_time;S6_max_time;S6_end_time;F1_force;F1_time;F2_force;F2_time;F3_force;F3_time;Warning_code;Left/Right;Size;Insole_id;
13:55:03.985;1;0;520;70;0;170;470;55;0;170;470;43;0;170;450;0;0;0;0;0;0;0;0;49;300;520;520;42;200;440;520;274;220;156;460;274;220;0;L;44;6417;
13:55:06.495;2;1300;1730;132;0;240;1730;97;0;240;1730;100;0;240;1730;1;1730;1730;1730;3;1700;1730;1730;20;460;570;1730;24;50;240;1730;577;570;0;0;92;570;0;L;44;6417;
13:55:07.071;3;3340;130;40;0;130;130;27;0;130;130;29;0;130;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;130;0;0;0;0;4;L;44;6417;
13:55:10.301;4;5480;1350;93;50;260;810;75;60;260;810;84;50;260;810;44;150;800;1130;57;100;990;1300;62;30;1100;1350;49;0;1060;1300;670;800;0;0;523;1080;0;L;44;6417;
13:55:12.099;5;7220;1300;119;0;170;820;86;0;170;830;102;0;200;1270;31;50;230;1030;63;60;940;1230;78;710;1120;1300;18;720;880;1220;650;880;0;0;361;1030;0;L;44;6417;
13:55:13.610;6;8920;1210;136;0;310;970;97;0;310;970;117;0;310;960;26;30;760;970;38;10;940;1120;38;810;1010;1210;43;750;970;1190;685;760;0;0;271;1000;0;L;44;6417;
13:55:15.266;7;10580;1200;105;0;280;1000;82;0;280;1170;89;0;280;960;23;150;340;340;41;120;510;1080;32;310;510;1170;51;10;510;1200;637;510;0;0;337;510;0;L;44;6417;
13:55:16.720;8;12370;1320;76;0;280;1010;46;20;280;1030;87;0;280;1000;48;100;920;1120;64;90;1010;1310;0;0;0;0;23;1240;1320;1320;532;850;0;0;194;1010;0;L;44;6417;
13:55:18.829;9;14470;1320;134;0;410;1150;97;10;410;1140;112;0;410;1130;17;910;1210;1210;34;890;1110;1320;0;0;0;0;0;0;0;0;547;410;0;0;66;1110;0;L;44;6417;
13:55:20.190;10;16390;310;106;0;310;310;67;20;270;270;103;10;310;310;20;160;310;310;0;0;0;0;0;0;0;0;0;0;0;0;511;310;0;0;0;0;0;L;44;6417;
13:55:22.398;11;18630;280;130;0;280;280;88;20;270;270;101;20;280;280;16;160;280;280;0;0;0;0;0;0;0;0;25;30;250;250;613;280;0;0;58;250;0;L;44;6417;
13:55:25.054;12;20780;370;122;0;370;370;85;10;370;370;103;10;370;370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496;370;0;0;0;0;0;L;44;6417;
13:55:28.155;13;23040;1620;170;100;660;1620;97;120;660;1590;136;120;660;1610;0;0;0;0;0;0;0;0;24;0;150;150;34;0;170;1490;740;660;0;0;128;170;0;L;44;6417;
13:55:30.607;14;25840;1510;132;0;360;1090;88;20;360;1070;109;20;360;1070;0;0;0;0;0;0;0;0;45;950;1180;1510;54;760;1130;1480;526;360;379;1070;421;1180;0;L;44;6417;
13:55:32.585;15;27740;1230;108;90;360;1230;71;120;360;1190;84;120;360;1190;21;190;360;1090;0;0;0;0;40;0;140;140;33;0;170;1230;634;360;0;0;210;170;0;L;44;6417;
13:55:33.753;16;29850;400;152;0;400;400;97;30;400;400;109;30;400;400;0;0;0;0;0;0;0;0;0;0;0;0;16;90;210;210;604;400;0;0;32;210;0;L;44;6417;
13:55:35.919;17;32100;310;124;0;310;310;84;40;310;310;98;30;310;310;18;160;310;310;0;0;0;0;27;0;140;140;0;0;0;0;607;310;0;0;64;140;0;L;44;6417;
13:55:39.024;18;34270;1240;138;0;380;1240;88;30;380;1220;102;30;380;1230;0;0;0;0;0;0;0;0;20;10;180;1000;24;10;230;1240;601;380;0;0;96;230;0;L;44;6417;
13:55:41.128;19;36380;1230;84;90;330;1230;61;120;330;1160;67;120;330;1180;24;190;330;1230;20;160;330;1230;37;20;250;250;55;0;290;1230;637;330;0;0;394;330;0;L;44;6417;
13:55:43.221;20;38190;1510;116;0;260;1510;85;20;260;1150;77;30;260;1150;17;220;1280;1280;25;1010;1200;1430;35;1050;1280;1510;42;990;1280;1470;466;260;0;0;194;1270;0;L;44;6417;
13:55:44.212;21;40190;1050;136;0;270;760;67;40;270;720;110;30;270;720;52;60;620;940;82;150;810;1020;51;610;860;1050;71;410;840;1020;655;320;622;420;665;570;0;L;44;6417;
13:55:45.953;22;41720;1060;113;0;230;710;81;40;240;650;89;30;240;600;59;80;520;820;77;140;730;1020;55;560;820;1060;80;170;820;1030;637;290;598;420;680;820;0;L;44;6417;
13:55:47.547;23;43300;1180;154;0;290;840;117;30;290;800;106;30;290;770;0;0;0;0;38;560;870;1100;61;620;950;1180;47;600;930;1130;604;290;355;720;463;940;0;L;44;6417;
13:55:49.239;24;45030;1240;130;0;320;1210;106;40;320;940;114;30;320;1200;38;70;670;1210;17;770;910;1210;66;610;950;1240;47;690;960;1170;675;860;0;0;292;950;0;L;44;6417;
13:55:52.197;25;46690;1660;74;0;300;300;80;50;300;860;116;30;300;880;27;100;410;410;68;90;1100;1660;75;700;1100;1640;77;80;1050;1620;870;1100;0;0;840;1100;0;L;44;6417;
13:55:53.386;26;48780;1070;63;0;240;1010;77;30;240;1000;79;30;240;970;28;100;240;1030;31;50;240;1070;20;60;220;1070;42;0;230;1020;622;240;0;0;316;240;0;L;44;6417;
13:55:54.621;27;50380;1260;76;0;310;1010;112;30;310;1010;115;40;310;1260;31;150;680;1050;37;460;1000;1210;123;670;1040;1260;72;90;1010;1210;760;940;0;0;685;1030;0;L;44;6417;
13:55:56.691;28;52120;1030;57;0;140;1030;104;20;230;690;142;20;240;1030;55;90;480;880;124;100;760;990;97;430;830;1030;91;320;800;1020;730;240;0;0;870;800;0;L;44;6417;
